file,image_type,face_id,dominant_1,percent_1,dominant_2,percent_2,skin_tone,tone_label,accuracy(0-100),source
124allapan.jpg,color,1.0,#E4A97D,0.83,#907256,0.17,#BE9D86,9.0,89.85,ine
124javipve.jpg,color,1.0,#E0A581,0.84,#8B5D43,0.16,#BE9D86,9.0,89.81,ine
124luismc,124luismc.jpg is not found or is not a valid image.,,,,,,,,,ine
125adrimc,125adrimc.jpg is not found or is not a valid image.,,,,,,,,,ine
125eleapan.jpg,color,1.0,#D49B79,0.72,#724534,0.28,#B1886C,7.0,87.1,ine
125gerapve.jpg,color,1.0,#C7978F,0.84,#81665B,0.16,#B69279,8.0,89.32,ine
126gerapan.jpg,color,1.0,#C38775,0.61,#724539,0.39,#A0765A,5.0,86.33,ine
126maripve.jpg,color,1.0,#9F7C6D,0.73,#714F45,0.27,#A0765A,5.0,91.54,ine
126sandmc,126sandmc.jpg is not found or is not a valid image.,,,,,,,,,ine
127carlpve.jpg,color,1.0,#A16F57,0.51,#7D5643,0.49,#876249,3.0,93.79,ine
127eloypan.jpg,color,1.0,#BC856D,0.66,#825947,0.34,#A87F64,6.0,91.08,ine
127joelmc,127joelmc.jpg is not found or is not a valid image.,,,,,,,,,ine
128gabrmc,128gabrmc.jpg is not found or is not a valid image.,,,,,,,,,ine
128marcpve.jpg,color,,#B7826A,0.74,#694B3C,0.26,#A87F64,6.0,90.99,ine
128rafapan.jpg,color,1.0,#E2B496,0.69,#AD8268,0.31,#C5A691,10.0,92.09,ine
130almapan.jpg,color,1.0,#CDA393,0.66,#5F463D,0.34,#B69279,8.0,84.43,ine
130cuaumor.jpg,color,1.0,#E8A074,0.71,#965945,0.29,#B1886C,7.0,86.63,ine
130elizmc.jpg,color,1.0,#E89F7E,0.68,#8B5040,0.32,#B1886C,7.0,85.25,ine
130elizpve.jpg,color,1.0,#D27B48,0.85,#6F331E,0.15,#A87F64,6.0,86.84,ine
130isidpan.jpg,color,,#926455,0.58,#CFB29B,0.42,#A0765A,5.0,87.13,ine
130karept.jpg,color,1.0,#B89E87,0.73,#694E3F,0.27,#BE9D86,9.0,89.85,ine
130martmc.jpg,color,1.0,#C38072,0.66,#6D413B,0.34,#A0765A,5.0,85.42,ine
130oscapt.jpg,color,1.0,#CF9687,0.83,#80574C,0.17,#B69279,8.0,88.97,ine
130sandmor,130sandmor.jpg is not found or is not a valid image.,,,,,,,,,ine
130yarepve.jpg,color,1.0,#B27C61,0.84,#6F4035,0.16,#A87F64,6.0,92.98,ine
131danimor.jpg,color,1.0,#D49F87,0.52,#654534,0.48,#A0765A,5.0,82.97,ine
131estepve.jpg,color,1.0,#715246,0.6,#BB8D7B,0.4,#876249,3.0,87.88,ine
131fortpt.jpg,color,1.0,#BC8E85,0.75,#815E54,0.25,#B1886C,7.0,88.68,ine
131hectmc.jpg,color,,#BC8B7D,0.78,#7A554B,0.22,#B1886C,7.0,89.92,ine
131sayopan.jpg,color,1.0,#D69A7E,0.51,#8C5D47,0.49,#A0765A,5.0,88.05,ine
132ciripve.jpg,color,,#C5A195,0.58,#775243,0.42,#A87F64,6.0,85.3,ine
132magapan,132magapan.jpg is not found or is not a valid image.,,,,,,,,,ine
132marimc.jpg,color,1.0,#E3A67E,0.6,#AE683A,0.4,#B1886C,7.0,88.44,ine
133alanmc.jpg,color,1.0,#A47763,0.6,#6F493A,0.4,#946C51,4.0,91.0,ine
133josupt.jpg,color,1.0,#D29C72,0.63,#A36F47,0.37,#B1886C,7.0,91.35,ine
133maipan.jpg,color,1.0,#D5A18D,0.86,#6C4D45,0.14,#BE9D86,9.0,89.54,ine
133maripve.jpg,color,,#6A472C,0.54,#DAA87E,0.46,#876249,3.0,83.15,ine
133tatimor,133tatimor.jpg is not found or is not a valid image.,,,,,,,,,ine
134almamor.jpg,color,1.0,#D09C86,0.56,#66483F,0.44,#A87F64,6.0,83.77,ine
134flormc.jpg,color,1.0,#CF9475,0.81,#754D3B,0.19,#B1886C,7.0,89.95,ine
134maripan.jpg,color,1.0,#B77A72,0.67,#673831,0.33,#A0765A,5.0,84.76,ine
134maript.jpg,color,1.0,#D7AB83,0.74,#855A3B,0.26,#BE9D86,9.0,88.6,ine
134monzpve.jpg,color,,#D0AD8F,0.56,#7F5035,0.44,#BE9D86,9.0,84.61,ine
135aracpan,135aracpan.jpg is not found or is not a valid image.,,,,,,,,,ine
135astrmor,135astrmor.jpg is not found or is not a valid image.,,,,,,,,,ine
135jorgmc.jpg,color,1.0,#B17E6A,0.75,#845243,0.25,#A87F64,6.0,92.18,ine
135julipt.jpg,color,1.0,#A66D41,0.59,#D59F75,0.41,#A0765A,5.0,90.52,ine
135maybpve.jpg,color,1.0,#BC896B,0.78,#6A4C36,0.22,#B1886C,7.0,92.25,ine
136guilmc.jpg,color,1.0,#C89D8A,0.59,#784F3E,0.41,#B1886C,7.0,86.06,ine
136josepan.jpg,color,,#D69B8E,0.6,#6D4A40,0.4,#A87F64,6.0,83.23,ine
136luispve.jpg,color,1.0,#A36E59,0.69,#734937,0.31,#946C51,4.0,92.05,ine
136maript.jpg,color,1.0,#DDB489,0.73,#9B6E49,0.27,#C5A691,10.0,89.04,ine
136ricamor,136ricamor.jpg is not found or is not a valid image.,,,,,,,,,ine
137adelpt.jpg,color,1.0,#9B6955,0.71,#683D2F,0.29,#946C51,4.0,91.7,ine
137adrimc.jpg,color,1.0,#D09B82,0.68,#815746,0.32,#B69279,8.0,88.5,ine
137franpve.jpg,color,1.0,#D4A896,0.81,#816457,0.19,#C5A691,10.0,91.57,ine
137franpve.jpg,color,2.0,#D5AA99,0.65,#997668,0.35,#C5A691,10.0,91.02,ine
137maykpan.jpg,color,1.0,#D4A281,0.56,#684736,0.44,#A87F64,6.0,83.6,ine
137mirnmor.jpg,color,1.0,#B5755E,0.64,#784636,0.36,#A0765A,5.0,89.01,ine
140albemc.jpg,color,1.0,#D59D7B,0.73,#9C6E49,0.27,#B69279,8.0,91.43,ine
140carlpve.jpg,color,1.0,#DCAA99,0.67,#846051,0.33,#BE9D86,9.0,87.08,ine
140erikpan.jpg,color,,#714935,0.59,#C7A291,0.41,#876249,3.0,85.17,ine
140franpan.jpg,color,,#BB8B79,0.52,#875440,0.48,#A0765A,5.0,88.8,ine
140maripve.jpg,color,1.0,#BD8B74,0.54,#764E3C,0.46,#A0765A,5.0,88.14,ine
140mirzmc.jpg,color,1.0,#E6AD8E,0.55,#7C4E35,0.45,#A87F64,6.0,83.08,ine
141enrimc.jpg,color,1.0,#D99C89,0.77,#925F4F,0.23,#B69279,8.0,88.44,ine
141franpve.jpg,color,1.0,#D29E89,0.66,#845E51,0.34,#B69279,8.0,88.46,ine
141josepan.jpg,color,1.0,#C98E7E,0.81,#7A4A3C,0.19,#B1886C,7.0,88.5,ine
142luispve.jpg,color,1.0,#E1A794,0.56,#8F5E4D,0.44,#B1886C,7.0,85.88,ine
142paulpan.jpg,color,1.0,#D8B5A0,0.59,#7F6455,0.41,#C5A691,10.0,87.86,ine
142tecumc.jpg,color,1.0,#BD8C7B,0.76,#7E5B4F,0.24,#B1886C,7.0,90.76,ine
143dalimc.jpg,color,1.0,#795845,0.51,#D9B29E,0.49,#946C51,4.0,84.4,ine
143josepan.jpg,color,,#C7988C,0.62,#925D4F,0.38,#B1886C,7.0,87.96,ine
143jovipt.jpg,color,1.0,#DDB19A,0.71,#856A5C,0.29,#C5A691,10.0,90.05,ine
143letipve.jpg,color,1.0,#C69170,0.63,#76513E,0.37,#B1886C,7.0,88.8,ine
143reymmor.jpg,color,1.0,#B18A6D,0.56,#F0C29A,0.44,#B69279,8.0,92.1,ine
144andrpan.jpg,color,1.0,#D3947D,0.71,#793C2B,0.29,#B1886C,7.0,85.84,ine
144martmc.jpg,color,1.0,#BD9584,0.73,#6E5849,0.27,#B69279,8.0,90.25,ine
144raulpve.jpg,color,1.0,#CAA097,0.86,#80645F,0.14,#C5A691,10.0,90.46,ine
145brunmor,145brunmor.jpg is not found or is not a valid image.,,,,,,,,,ine
145gerapan,145gerapan.jpg is not found or is not a valid image.,,,,,,,,,ine
145magapve.jpg,color,1.0,#DFAC99,0.77,#725246,0.23,#C5A691,10.0,87.17,ine
145raulpt.jpg,color,1.0,#CC8F7C,0.75,#856156,0.25,#B1886C,7.0,89.6,ine
145yesimc,145yesimc.jpg is not found or is not a valid image.,,,,,,,,,ine
146adripan.jpg,color,,#D2A695,0.85,#7C5545,0.15,#C5A691,10.0,91.56,ine
146beatpve.jpg,color,1.0,#E4A34F,0.69,#875C1F,0.31,#B1886C,7.0,83.18,ine
146manumc.jpg,color,1.0,#CF9A87,0.79,#EC790A,0.21,#BE9D86,9.0,90.57,ine
147claupve.jpg,color,1.0,#C88E72,0.75,#6C4637,0.25,#B1886C,7.0,89.02,ine
147emanmc.jpg,color,1.0,#83543F,0.52,#D49A7E,0.48,#946C51,4.0,86.62,ine
147laurpan.jpg,color,1.0,#D8A591,0.67,#7B3D2B,0.33,#B69279,8.0,83.94,ine
148anamc.jpg,color,1.0,#985C3A,0.55,#ECB5A5,0.45,#A0765A,5.0,85.04,ine
148juanpve.jpg,color,1.0,#CD9089,0.62,#8F5550,0.38,#A87F64,6.0,85.0,ine
148paolpan.jpg,color,1.0,#C0978C,0.65,#7F5446,0.35,#B69279,8.0,87.16,ine
149favipve.jpg,color,1.0,#E4A28D,0.68,#835446,0.32,#B69279,8.0,84.98,ine
149juanmc.jpg,color,1.0,#936054,0.53,#D6A18F,0.47,#A87F64,6.0,86.88,ine
149veropan,149veropan.jpg is not found or is not a valid image.,,,,,,,,,ine
150brenpan.jpg,color,1.0,#DAA991,0.7,#80594B,0.3,#BE9D86,9.0,87.74,ine
150enripan.jpg,color,1.0,#D7AA9B,0.85,#7F635A,0.15,#C5A691,10.0,90.89,ine
150fernmc.jpg,color,1.0,#C38063,0.63,#804E3A,0.37,#A0765A,5.0,89.05,ine
150higipve.jpg,color,1.0,#D8AA95,0.5,#A97962,0.5,#B1886C,7.0,91.56,ine
150karlmc,150karlmc.jpg is not found or is not a valid image.,,,,,,,,,ine
150maripve,150maripve.jpg is not found or is not a valid image.,,,,,,,,,ine
151fernpan.jpg,color,1.0,#7D502D,0.62,#BC8F66,0.38,#876249,3.0,88.87,ine
151maripve.jpg,color,1.0,#A9715D,0.79,#684134,0.21,#A0765A,5.0,91.2,ine
151silvmc.jpg,color,,#C4482D,0.93,#B9988B,0.07,#946C51,4.0,83.96,ine
152dionpve,152dionpve.jpg is not found or is not a valid image.,,,,,,,,,ine
152guilpan.jpg,color,,#DBB7A2,0.59,#7C5A50,0.41,#C8AC99,11.0,85.84,ine
152natamc.jpg,color,1.0,#D18B6D,0.79,#773223,0.21,#B1886C,7.0,87.46,ine
153dianpve.jpg,color,1.0,#A57B5F,0.8,#704C3D,0.2,#A0765A,5.0,95.22,ine
153marcmc.jpg,color,1.0,#BB7E74,0.72,#714640,0.28,#A0765A,5.0,86.45,ine
153maripan.jpg,color,,#E3AA99,0.64,#AE5B50,0.36,#BE9D86,9.0,85.86,ine
154aracmc.jpg,color,1.0,#CF9678,0.53,#72462C,0.47,#A0765A,5.0,85.04,ine
154julipan,154julipan.jpg is not found or is not a valid image.,,,,,,,,,ine
154melvpve.jpg,color,1.0,#AF8070,0.64,#6E493E,0.36,#A0765A,5.0,89.06,ine
155crispan.jpg,color,1.0,#E7A099,0.69,#673B37,0.31,#B1886C,7.0,79.81,ine
155katimc.jpg,color,,#AD3C0D,0.57,#B78F7A,0.43,#A0765A,5.0,85.6,ine
155patrpve.jpg,color,1.0,#D89490,0.78,#714E48,0.22,#B1886C,7.0,83.39,ine
156alipan.jpg,color,1.0,#B78365,0.6,#6C4730,0.4,#A0765A,5.0,89.11,ine
156gildmc.jpg,color,1.0,#D79F94,0.64,#A86F55,0.36,#B1886C,7.0,88.98,ine
156julipve.jpg,color,1.0,#D2AA91,0.62,#665147,0.38,#C5A691,10.0,85.56,ine
157franpan.jpg,color,,#DFAE97,0.62,#A56251,0.38,#BE9D86,9.0,87.65,ine
157rocimc.jpg,color,1.0,#DDA68D,0.73,#83594A,0.27,#BE9D86,9.0,87.96,ine
157xochpve.jpg,color,1.0,#D09F81,0.85,#5D3D2E,0.15,#BE9D86,9.0,90.03,ine
158anaypve,158anaypve.jpg is not found or is not a valid image.,,,,,,,,,ine
158maripan.jpg,color,1.0,#B4907A,0.72,#6B5139,0.28,#B69279,8.0,91.55,ine
158ricamc.jpg,color,1.0,#C9A497,0.81,#966F65,0.19,#C5A691,10.0,92.63,ine
159ivanpve.jpg,color,1.0,#C2897C,0.67,#925D4E,0.33,#A87F64,6.0,89.17,ine
159rosamc.jpg,color,1.0,#C1886F,0.76,#774F3E,0.24,#B1886C,7.0,90.67,ine
159xochpan.jpg,color,1.0,#CC988A,0.84,#7D534A,0.16,#B69279,8.0,89.08,ine
160aracpan.jpg,color,1.0,#E6AF9D,0.59,#8A5F56,0.41,#BE9D86,9.0,84.94,ine
160carlmc.jpg,color,1.0,#DFA08D,0.71,#BB6926,0.29,#B69279,8.0,87.8,ine
160carlpan.jpg,color,,#D1A393,0.54,#755347,0.46,#A87F64,6.0,84.5,ine
160michmc.jpg,color,,#B78271,0.76,#62463E,0.24,#A87F64,6.0,89.28,ine
160raulpve.jpg,color,1.0,#C59385,0.62,#8C675E,0.38,#B1886C,7.0,89.33,ine
160reynpve.jpg,color,,#AC7B64,0.52,#664738,0.48,#946C51,4.0,89.0,ine
161franpve.jpg,color,1.0,#A06342,0.52,#EDB185,0.48,#A0765A,5.0,86.73,ine
161leonmor.jpg,color,1.0,#DF9C80,0.63,#9B604E,0.37,#B1886C,7.0,87.89,ine
161maript.jpg,color,1.0,#A06759,0.68,#693327,0.32,#876249,3.0,88.52,ine
161ulismc,161ulismc.jpg is not found or is not a valid image.,,,,,,,,,ine
161yuripan.jpg,color,,#E6B490,0.72,#9A5635,0.28,#C5A691,10.0,87.11,ine
162danimc,162danimc.jpg is not found or is not a valid image.,,,,,,,,,ine
162franpan.jpg,color,1.0,#EBBD9B,0.64,#91694D,0.36,#C5A691,10.0,87.23,ine
162josepve.jpg,color,,#81584A,0.53,#C69E90,0.47,#946C51,4.0,86.67,ine
163marypve.jpg,color,1.0,#D8B198,0.75,#88675E,0.25,#C5A691,10.0,91.31,ine
163samamc.jpg,color,,#B5826D,0.66,#6A4F49,0.34,#A87F64,6.0,89.83,ine
163silvpan.jpg,color,1.0,#D7A485,0.67,#936548,0.33,#B69279,8.0,89.7,ine
164hugomc,164hugomc.jpg is not found or is not a valid image.,,,,,,,,,ine
164rodrpan.jpg,color,1.0,#EDB39B,0.65,#CC8C78,0.35,#C5A691,10.0,90.27,ine
164rosapve.jpg,color,1.0,#E9B787,0.64,#8F552D,0.36,#BE9D86,9.0,83.87,ine
165delhpve.jpg,color,,#BF8A7D,0.6,#734D40,0.4,#A0765A,5.0,86.65,ine
165jessmc,165jessmc.jpg is not found or is not a valid image.,,,,,,,,,ine
165jjespan.jpg,color,,#C18E74,0.51,#96694F,0.49,#A0765A,5.0,92.79,ine
166josepve.jpg,color,1.0,#C8997F,0.66,#90705A,0.34,#B69279,8.0,92.96,ine
166josepve.jpg,color,2.0,#CA9E87,0.52,#9A7963,0.48,#B69279,8.0,93.06,ine
166karlpan.jpg,color,1.0,#D49D99,0.8,#6A4946,0.2,#B69279,8.0,83.98,ine
